codigoPostal,ciudad,estadoNombreCorto
07810,Ciudad de México,Ciudad de México
07820,Ciudad de México,Ciudad de México
07830,Ciudad de México,Ciudad de México
07838,Ciudad de México,Ciudad de México
07839,Ciudad de México,Ciudad de México
07840,Ciudad de México,Ciudad de México
07850,Ciudad de México,Ciudad de México
07858,Ciudad de México,Ciudad de México
07859,Ciudad de México,Ciudad de México
07860,Ciudad de México,Ciudad de México
07869,Ciudad de México,Ciudad de México
07870,Ciudad de México,Ciudad de México
07880,Ciudad de México,Ciudad de México
07889,Ciudad de México,Ciudad de México
07890,Ciudad de México,Ciudad de México
07899,Ciudad de México,Ciudad de México
07900,Ciudad de México,Ciudad de México
07910,Ciudad de México,Ciudad de México
07918,Ciudad de México,Ciudad de México
07919,Ciudad de México,Ciudad de México
07920,Ciudad de México,Ciudad de México
07930,Ciudad de México,Ciudad de México
07939,Ciudad de México,Ciudad de México
07940,Ciudad de México,Ciudad de México
07950,Ciudad de México,Ciudad de México
07960,Ciudad de México,Ciudad de México
07969,Ciudad de México,Ciudad de México
07970,Ciudad de México,Ciudad de México
07979,Ciudad de México,Ciudad de México
07980,Ciudad de México,Ciudad de México
07990,Ciudad de México,Ciudad de México
08000,Ciudad de México,Ciudad de México
08010,Ciudad de México,Ciudad de México
08020,Ciudad de México,Ciudad de México
08030,Ciudad de México,Ciudad de México
08040,Ciudad de México,Ciudad de México
08100,Ciudad de México,Ciudad de México
08200,Ciudad de México,Ciudad de México
08210,Ciudad de México,Ciudad de México
08220,Ciudad de México,Ciudad de México
08230,Ciudad de México,Ciudad de México
08240,Ciudad de México,Ciudad de México
08300,Ciudad de México,Ciudad de México
08310,Ciudad de México,Ciudad de México
08320,Ciudad de México,Ciudad de México
08400,Ciudad de México,Ciudad de México
08420,Ciudad de México,Ciudad de México
08500,Ciudad de México,Ciudad de México
08510,Ciudad de México,Ciudad de México
08600,Ciudad de México,Ciudad de México
08610,Ciudad de México,Ciudad de México
08620,Ciudad de México,Ciudad de México
08650,Ciudad de México,Ciudad de México
08700,Ciudad de México,Ciudad de México
08710,Ciudad de México,Ciudad de México
08720,Ciudad de México,Ciudad de México
08730,Ciudad de México,Ciudad de México
08760,Ciudad de México,Ciudad de México
08770,Ciudad de México,Ciudad de México
08800,Ciudad de México,Ciudad de México
08810,Ciudad de México,Ciudad de México
08830,Ciudad de México,Ciudad de México
08840,Ciudad de México,Ciudad de México
08900,Ciudad de México,Ciudad de México
08910,Ciudad de México,Ciudad de México
08920,Ciudad de México,Ciudad de México
08930,Ciudad de México,Ciudad de México
09000,Ciudad de México,Ciudad de México
09010,Ciudad de México,Ciudad de México
09020,Ciudad de México,Ciudad de México
09030,Ciudad de México,Ciudad de México
09040,Ciudad de México,Ciudad de México
09060,Ciudad de México,Ciudad de México
09070,Ciudad de México,Ciudad de México
09080,Ciudad de México,Ciudad de México
09089,Ciudad de México,Ciudad de México
09090,Ciudad de México,Ciudad de México
09099,Ciudad de México,Ciudad de México
09100,Ciudad de México,Ciudad de México
09130,Ciudad de México,Ciudad de México
09140,Ciudad de México,Ciudad de México
09180,Ciudad de México,Ciudad de México
09200,Ciudad de México,Ciudad de México
09208,Ciudad de México,Ciudad de México
09209,Ciudad de México,Ciudad de México
09210,Ciudad de México,Ciudad de México
09220,Ciudad de México,Ciudad de México
09230,Ciudad de México,Ciudad de México
09239,Ciudad de México,Ciudad de México
09240,Ciudad de México,Ciudad de México
09250,Ciudad de México,Ciudad de México
09260,Ciudad de México,Ciudad de México
09270,Ciudad de México,Ciudad de México
09280,Ciudad de México,Ciudad de México
09290,Ciudad de México,Ciudad de México
09300,Ciudad de México,Ciudad de México
09310,Ciudad de México,Ciudad de México
09319,Ciudad de México,Ciudad de México
09320,Ciudad de México,Ciudad de México
09350,Ciudad de México,Ciudad de México
09359,Ciudad de México,Ciudad de México
09360,Ciudad de México,Ciudad de México
09400,Ciudad de México,Ciudad de México
09410,Ciudad de México,Ciudad de México
09420,Ciudad de México,Ciudad de México
09429,Ciudad de México,Ciudad de México
09430,Ciudad de México,Ciudad de México
09438,Ciudad de México,Ciudad de México
09440,Ciudad de México,Ciudad de México
09450,Ciudad de México,Ciudad de México
09460,Ciudad de México,Ciudad de México
09470,Ciudad de México,Ciudad de México
09479,Ciudad de México,Ciudad de México
09480,Ciudad de México,Ciudad de México
09500,Ciudad de México,Ciudad de México
09510,Ciudad de México,Ciudad de México
09520,Ciudad de México,Ciudad de México
09530,Ciudad de México,Ciudad de México
09550,Ciudad de México,Ciudad de México
09560,Ciudad de México,Ciudad de México
09570,Ciudad de México,Ciudad de México
09578,Ciudad de México,Ciudad de México
09600,Ciudad de México,Ciudad de México
09608,Ciudad de México,Ciudad de México
09609,Ciudad de México,Ciudad de México
09620,Ciudad de México,Ciudad de México
09630,Ciudad de México,Ciudad de México
09637,Ciudad de México,Ciudad de México
09638,Ciudad de México,Ciudad de México
09640,Ciudad de México,Ciudad de México
09648,Ciudad de México,Ciudad de México
09660,Ciudad de México,Ciudad de México
09670,Ciudad de México,Ciudad de México
09680,Ciudad de México,Ciudad de México
09689,Ciudad de México,Ciudad de México
09690,Ciudad de México,Ciudad de México
09696,Ciudad de México,Ciudad de México
09698,Ciudad de México,Ciudad de México
09700,Ciudad de México,Ciudad de México
09704,Ciudad de México,Ciudad de México
09705,Ciudad de México,Ciudad de México
09706,Ciudad de México,Ciudad de México
09708,Ciudad de México,Ciudad de México
09709,Ciudad de México,Ciudad de México
09710,Ciudad de México,Ciudad de México
09720,Ciudad de México,Ciudad de México
09730,Ciudad de México,Ciudad de México
09740,Ciudad de México,Ciudad de México
09750,Ciudad de México,Ciudad de México
09760,Ciudad de México,Ciudad de México
09769,Ciudad de México,Ciudad de México
09770,Ciudad de México,Ciudad de México
09780,Ciudad de México,Ciudad de México
09790,Ciudad de México,Ciudad de México
09800,Ciudad de México,Ciudad de México
09810,Ciudad de México,Ciudad de México
09819,Ciudad de México,Ciudad de México
